2018.01.11,"2,815 ",10.00,+0.36%,"650,554,712"
2018.01.12,"3,055 ",240,+8.53%,"451,118,010"
2018.01.13,"2,960 ",95.00,-3.11%,"184,419,655"
2018.01.14,"2,575 ",385,-13.01%,"142,384,305"
2018.01.15,"2,335 ",240,-9.32%,"99,009,299"
2018.01.16,"1,465 ",870,-37.26%,"444,522,206"
2018.01.17,"1,760 ",295,+20.14%,"790,870,222"
2018.01.18,"2,075 ",315,+17.90%,"1,214,430,285"
2018.01.19,"2,065 ",10.00,-0.48%,"422,612,523"
2018.01.20,"2,070 ",5.00,+0.24%,"197,120,801"
2018.01.21,"1,725 ",345,-16.67%,"335,038,420"
2018.01.22,"1,715 ",10.00,-0.58%,"238,768,477"
2018.01.23,"1,615 ",100,-5.83%,"308,762,626"
2018.01.24,"1,600 ",15.00,-0.93%,"191,867,662"
2018.01.25,"1,515 ",85.00,-5.31%,"102,179,202"
2018.01.26,"1,395 ",120,-7.92%,"176,996,057"
2018.01.27,"1,365 ",30.00,-2.15%,"51,054,023"
2018.01.28,"1,540 ",175,+12.82%,"93,826,225"
2018.01.29,"1,450 ",90.00,-5.84%,"77,716,606"
2018.01.30,"1,270 ",180,-12.41%,"76,074,108"
2018.01.31,"1,260 ",10.00,-0.79%,"101,882,447"
2018.02.01,"1,040 ",220,-17.46%,"101,967,406"
2018.02.02,956 ,84.00,-8.08%,"478,265,553"
2018.02.03,982 ,26.00,+2.72%,"313,834,422"
2018.02.04,891 ,91.00,-9.27%,"139,107,715"
2018.02.05,773 ,118,-13.24%,"111,163,948"
2018.02.06,848 ,75.00,+9.70%,"243,053,101"
2018.02.07,789 ,59.00,-6.96%,"132,551,422"
2018.02.08,898 ,109,+13.81%,"154,921,812"
2018.02.09,"1,050 ",152,+16.93%,"366,358,277"
2018.02.10,"1,190 ",140,+13.33%,"856,656,523"
2018.02.11,"1,105 ",85.00,-7.14%,"537,543,914"
2018.02.12,"1,190 ",85.00,+7.69%,"332,550,652"
2018.02.13,"1,140 ",50.00,-4.20%,"132,337,670"
2018.02.14,"1,240 ",100,+8.77%,"162,289,438"
2018.02.15,"1,250 ",10.00,+0.81%,"132,731,328"
2018.02.16,"1,250 ",0,0.00%,"46,595,455"
2018.02.17,"1,310 ",60.00,+4.80%,"148,561,813"
2018.02.18,"1,225 ",85.00,-6.49%,"114,006,387"
2018.02.19,"1,260 ",35.00,+2.86%,"51,395,060"
2018.02.20,"1,235 ",25.00,-1.98%,"76,359,516"
2018.02.21,"1,160 ",75.00,-6.07%,"69,398,702"
2018.02.22,"1,055 ",105,-9.05%,"80,711,265"
2018.02.23,"1,120 ",65.00,+6.16%,"94,646,952"
2018.02.24,"1,070 ",50.00,-4.46%,"47,756,242"
2018.02.25,"1,055 ",15.00,-1.40%,"35,072,290"
2018.02.26,"1,060 ",5.00,+0.47%,"48,120,568"
2018.02.27,"1,045 ",15.00,-1.42%,"22,802,318"
2018.02.28,"1,015 ",30.00,-2.87%,"23,967,563"
2018.03.01,"1,020 ",5.00,+0.49%,"49,779,968"
2018.03.02,"1,005 ",15.00,-1.47%,"21,721,679"
2018.03.03,"1,000 ",5.00,-0.50%,"24,832,723"
2018.03.04,"1,095 ",95.00,+9.50%,"55,595,639"
2018.03.05,"1,045 ",50.00,-4.57%,"152,592,018"
2018.03.06,"1,010 ",35.00,-3.35%,"74,440,041"
2018.03.07,958 ,52.00,-5.15%,"81,721,929"
2018.03.08,906 ,52.00,-5.43%,"48,059,833"
2018.03.09,925 ,19.00,+2.10%,"113,357,055"
2018.03.10,869 ,56.00,-6.05%,"44,571,945"
2018.03.11,896 ,27.00,+3.11%,"52,847,326"
2018.03.12,875 ,21.00,-2.34%,"38,942,306"
