1,203,0,0,0
2,211,8,0,1
3,232,21,0,1
4,222,10,0,0
5,220,2,0,0
6,224,4,0,1
7,234,10,0,1
8,232,2,0,0
9,235,3,0,1
10,248,13,0,1
11,271,23,0,1
12,269,2,0,0
13,273,4,0,1
14,319,46,0,1
15,286,33,0,0
16,298,12,0,1
17,303,5,0,1
18,286,17,0,0
19,294,8,0,1
20,287,7,0,0
21,299,12,0,1
22,290,9,0,0
23,261,29,0,0
24,249,12,81,0
25,245,4,235,0
26,238,7,65,0
27,239,1,2,1
28,233,6,2,0
29,231,2,2,0
30,233,2,2,1
31,232,1,2,0
32,228,4,2,0
33,229,1,4,1
34,229,0,2,0
35,219,10,2,0
36,236,17,2,1
37,235,1,2,0
38,227,8,2,0
39,228,1,2,1
40,235,7,1,1
41,239,4,6,1
42,243,4,6,1
43,247,4,6,1
44,233,14,6,0
45,241,8,6,1
46,234,7,4,0
47,231,3,15508416,0
48,237,6,19620044,1
49,239,2,7455245,1
50,254,15,78652297,1
51,249,5,37724653,0
52,251,2,12614821,1
53,253,2,16382877,1
54,262,9,19148283,1
55,254,8,17958001,0
56,262,8,14420989,1
57,268,6,26384894,1
58,267,1,36972226,0
59,279,12,34362089,1
60,274,5,18084374,0
61,288,14,18961263,1
62,339,51,87669124,1
63,266,73,61744997,0
64,282,16,49590274,1
65,287,5,33465260,1
66,290,3,25157030,1
67,287,3,45140752,0
68,289,2,38529543,1
69,292,3,25099750,1
70,290,2,31836086,0
71,287,3,25620375,0
72,298,11,177582441,1
73,284,14,41356987,0
74,269,15,49479144,0
75,288,19,29488851,1
76,435,147,486269702,1
77,523,87,1234508465,1
78,940,417,1574952265,1
79,844,97,710829072,0
80,849,5,289044848,1
81,816,33,167637319,0
82,879,63,266267036,1
83,940,61,267569664,1
84,995,55,91230458,1
85,1605,610,668967938,1
86,1460,145,948597107,0
87,1470,10,316729034,1
88,1405,65,76654377,0
89,1425,20,43157295,1
90,1505,80,63421207,1
91,1720,215,247181182,1
92,1705,15,245936168,0
93,2570,865,661793178,1
94,2725,155,709747652,1
95,2745,20,358051730,1
96,2885,140,128537201,1
97,3000,115,194160917,1
98,3735,735,310515786,1
99,4215,480,243580793,1
100,4060,155,285942130,0
101,4130,70,125416769,1
102,4380,250,104396153,1
103,4005,375,123757910,0
104,3410,595,205549393,0
105,2805,605,385809127,0
106,2815,10,650554712,1
107,3055,240,451118010,1
108,2960,95,184419655,0
109,2575,385,142384305,0
110,2335,240,99009299,0
111,1465,870,444522206,0
112,1760,295,790870222,1
113,2075,315,1214430285,1
114,2065,10,422612523,0
115,2070,5,197120801,1
