203 ,0,0.00%,0
211 ,8.00,+3.94%,0
232 ,21.00,+9.95%,0
222 ,10.00,-4.31%,0
220 ,2.00,-0.90%,0
224 ,4.00,+1.82%,0
234 ,10.00,+4.46%,0
232 ,2.00,-0.85%,0
235 ,3.00,+1.29%,0
248 ,13.00,+5.53%,0
271 ,23.00,+9.27%,0
269 ,2.00,-0.74%,0
273 ,4.00,+1.49%,0
319 ,46.00,+16.85%,0
286 ,33.00,-10.34%,0
298 ,12.00,+4.20%,0
303 ,5.00,+1.68%,0
286 ,17.00,-5.61%,0
294 ,8.00,+2.80%,0
287 ,7.00,-2.38%,0
299 ,12.00,+4.18%,0
290 ,9.00,-3.01%,0
261 ,29.00,-10.00%,0
249 ,12.00,-4.60%,81
245 ,4.00,-1.61%,235
238 ,7.00,-2.86%,65
239 ,1.00,+0.42%,2
233 ,6.00,-2.51%,2
231 ,2.00,-0.86%,2
233 ,2.00,+0.87%,2
232 ,1.00,-0.43%,2
228 ,4.00,-1.72%,2
229 ,1.00,+0.44%,4
229 ,0,0.00%,2
219 ,10.00,-4.37%,2
236 ,17.00,+7.76%,2
235 ,1.00,-0.42%,2
227 ,8.00,-3.40%,2
228 ,1.00,+0.44%,2
235 ,7.00,+3.07%,1
239 ,4.00,+1.70%,6
243 ,4.00,+1.67%,6
247 ,4.00,+1.65%,6
233 ,14.00,-5.67%,6
241 ,8.00,+3.43%,6
234 ,7.00,-2.90%,4
231 ,3.00,-1.28%,"15,508,416"
237 ,6.00,+2.60%,"19,620,044"
239 ,2.00,+0.84%,"7,455,245"
254 ,15.00,+6.28%,"78,652,297"
249 ,5.00,-1.97%,"37,724,653"
251 ,2.00,+0.80%,"12,614,821"
253 ,2.00,+0.80%,"16,382,877"
262 ,9.00,+3.56%,"19,148,283"
254 ,8.00,-3.05%,"17,958,001"
262 ,8.00,+3.15%,"14,420,989"
268 ,6.00,+2.29%,"26,384,894"
267 ,1.00,-0.37%,"36,972,226"
279 ,12.00,+4.49%,"34,362,089"
274 ,5.00,-1.79%,"18,084,374"
288 ,14.00,+5.11%,"18,961,263"
339 ,51.00,+17.71%,"87,669,124"
266 ,73.00,-21.53%,"61,744,997"
282 ,16.00,+6.02%,"49,590,274"
287 ,5.00,+1.77%,"33,465,260"
290 ,3.00,+1.05%,"25,157,030"
287 ,3.00,-1.03%,"45,140,752"
289 ,2.00,+0.70%,"38,529,543"
292 ,3.00,+1.04%,"25,099,750"
290 ,2.00,-0.68%,"31,836,086"
287 ,3.00,-1.03%,"25,620,375"
298 ,11.00,+3.83%,"177,582,441"
284 ,14.00,-4.70%,"41,356,987"
269 ,15.00,-5.28%,"49,479,144"
288 ,19.00,+7.06%,"29,488,851"
435 ,147,+51.04%,"486,269,702"
523 ,87.00,+19.95%,"1,234,508,465"
940 ,417,+79.73%,"1,574,952,265"
844 ,97.00,-10.31%,"710,829,072"
849 ,5.00,+0.59%,"289,044,848"
816 ,33.00,-3.89%,"167,637,319"
879 ,63.00,+7.72%,"266,267,036"
940 ,61.00,+6.94%,"267,569,664"
995 ,55.00,+5.85%,"91,230,458"
"1,605 ",610,+61.31%,"668,967,938"
"1,460 ",145,-9.03%,"948,597,107"
"1,470 ",10.00,+0.68%,"316,729,034"
"1,405 ",65.00,-4.42%,"76,654,377"
"1,425 ",20.00,+1.42%,"43,157,295"
"1,505 ",80.00,+5.61%,"63,421,207"
"1,720 ",215,+14.29%,"247,181,182"
"1,705 ",15.00,-0.87%,"245,936,168"
"2,570 ",865,+50.73%,"661,793,178"
"2,725 ",155,+6.03%,"709,747,652"
"2,745 ",20.00,+0.73%,"358,051,730"
"2,885 ",140,+5.10%,"128,537,201"
"3,000 ",115,+3.99%,"194,160,917"
"3,735 ",735,+24.50%,"310,515,786"
"4,215 ",480,+12.85%,"243,580,793"
"4,060 ",155,-3.68%,"285,942,130"
"4,130 ",70.00,+1.72%,"125,416,769"
"4,380 ",250,+6.05%,"104,396,153"
"4,005 ",375,-8.56%,"123,757,910"
"3,410 ",595,-14.86%,"205,549,393"
"2,805 ",605,-17.74%,"385,809,127"
"2,815 ",10.00,+0.36%,"650,554,712"
"3,055 ",240,+8.53%,"451,118,010"
"2,960 ",95.00,-3.11%,"184,419,655"
"2,575 ",385,-13.01%,"142,384,305"
"2,335 ",240,-9.32%,"99,009,299"
"1,465 ",870,-37.26%,"444,522,206"
"1,760 ",295,+20.14%,"790,870,222"
"2,075 ",315,+17.90%,"1,214,430,285"
"2,065 ",10.00,-0.48%,"422,612,523"
"2,070 ",5.00,+0.24%,"197,120,801"
"1,725 ",345,-16.67%,"335,038,420"
"1,715 ",10.00,-0.58%,"238,768,477"
"1,615 ",100,-5.83%,"308,762,626"
"1,600 ",15.00,-0.93%,"191,867,662"
"1,515 ",85.00,-5.31%,"102,179,202"
"1,395 ",120,-7.92%,"176,996,057"
"1,365 ",30.00,-2.15%,"51,054,023"
